scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11701,'Abdullah bin Abi al-Mujalad,عبد الله بن أبي المجالد,Follower(Tabi') [5th generation],0,0,,"20020, 11352, 10743","4046, 169, 11725"
11702,'Abdullah bin Muh. bin 'AR B. Abi Bakr,عبد الله بن محمد بن عبدالرحمن بن أبي بكر,Follower(Tabi') [3rd Generation],0,0,,,53
11703,'Abdul Hameed bin Dinar al-Ziyadi,عبد الحميد بن دينار صاحب الزيادي,Follower(Tabi') [4th generation],0,0,Basra,"20020, 11307, 20022, 20208","19, 11440, 11269, 11016, 11293"
11704,'Abdur Rahman bin Malik bin Malik,عبد الرحمن بن مالك بن مالك بن جعشم,Follower(Tabi') [3rd Generation],0,0,,11013,"3137, 471"
11705,'Abdul Majeed bin Sahl bin 'Abdur Rahman,عبد المجيد بن سهل بن عبد الرحمن,Follower(Tabi') [6th generation],0,0,,"20001, 20342, 20167, 20160, 11184, 11034, 20509",10567
11706,'Ubaidullah bin al-Aswad,عبيد الله بن الأسود الخولاني,Follower(Tabi') [3rd Generation],0,0,,"11153, 11103, 13110",
11707,'Ubaidullah bin Salman al-Aghar,عبيد الله بن سلمان الأغر,Follower(Tabi') [6th generation],0,0,Medina,"11106, 10616, 20001, 20160",11171
11708,Ata'a Abu al-Hasan al-Swa'iy,عطاء أبو الحسن السوائي,Follower(Tabi') [4th generation],0,0,,,
11709,'Ikrama bin Khalid bin al-Aas,عكرمة بن خالد بن العاص بن هشام,Follower(Tabi') [3rd Generation],0,0,"Makkah, Medina","11015, 11070, 11433, 10785, 11243, 19848, 11019, 11107, 14272, 10719, 20474, 20677, 20021","2018, 13, 17, 18, 3660, 5030, 11050, 18130"
11710,'Ali bin Yahya bin Khlad,علي بن يحيى بن خلاد بن رافع,Follower(Tabi') [4th generation],0,748,al-Ray,"11225, 11186, 11858, 11151, 11154, 11845, 11169, 11107, 10616, 11220, 20160","325, 323, 10631"
